key,bookKey,date,chapter,chapterIndex,text,cfi,range,notes,percentage,color,tag,highlightType,bookName,bookAuthor
1758166980971,1738143464138,2025-09-18,Cover,5,craving,"{""text"":""His heritage and breeding, along with the hardwiring of his brain, made him at times callous and impulsive. It also led to an exceedingly high tolerance for risk. He could calculate it coldly and also embrace it feverishly. “Elon wants risk for its own sake,” says Peter Thiel, who became his partner in the early days of PayPal. “He seems to enjoy it, indeed at times be addicted to it.”"",""chapterTitle"":"""",""chapterDocIndex"":""5"",""chapterHref"":"""",""count"":""21"",""page"":"""",""percentage"":""0.009568752283950165""}","{""characterRange"":{""start"":10831,""end"":10838},""backward"":false}","He developed a siege mentality that included an attraction, sometimes a craving, for storm and drama, both at work and in the romantic relationships he struggled and failed to maintain.",0.009568752283950165,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758167034926,1738143464138,2025-09-18,Cover,5,"tortuous","{""text"":""His heritage and breeding, along with the hardwiring of his brain, made him at times callous and impulsive. It also led to an exceedingly high tolerance for risk. He could calculate it coldly and also embrace it feverishly. “Elon wants risk for its own sake,” says Peter Thiel, who became his partner in the early days of PayPal. “He seems to enjoy it, indeed at times be addicted to it.”"",""chapterTitle"":"""",""chapterDocIndex"":""5"",""chapterHref"":"""",""count"":""21"",""page"":"""",""percentage"":""0.009568752283950165""}","{""characterRange"":{""start"":11017,""end"":11025},""backward"":false}","When he faced tortuous challenges, the strain would often keep him awake at night and make him vomit.",0.009568752283950165,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758167045853,1738143464138,2025-09-18,Cover,5,"strain","{""text"":""His heritage and breeding, along with the hardwiring of his brain, made him at times callous and impulsive. It also led to an exceedingly high tolerance for risk. He could calculate it coldly and also embrace it feverishly. “Elon wants risk for its own sake,” says Peter Thiel, who became his partner in the early days of PayPal. “He seems to enjoy it, indeed at times be addicted to it.”"",""chapterTitle"":"""",""chapterDocIndex"":""5"",""chapterHref"":"""",""count"":""21"",""page"":"""",""percentage"":""0.009568752283950165""}","{""characterRange"":{""start"":11042,""end"":11048},""backward"":false}","When he faced tortuous challenges, the strain would often keep him awake at night and make him vomit.",0.009568752283950165,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758167058470,1738143464138,2025-09-18,Cover,5,vomit,"{""text"":""His heritage and breeding, along with the hardwiring of his brain, made him at times callous and impulsive. It also led to an exceedingly high tolerance for risk. He could calculate it coldly and also embrace it feverishly. “Elon wants risk for its own sake,” says Peter Thiel, who became his partner in the early days of PayPal. “He seems to enjoy it, indeed at times be addicted to it.”"",""chapterTitle"":"""",""chapterDocIndex"":""5"",""chapterHref"":"""",""count"":""21"",""page"":"""",""percentage"":""0.009568752283950165""}","{""characterRange"":{""start"":11098,""end"":11103},""backward"":false}","When he faced tortuous challenges, the strain would often keep him awake at night and make him vomit.",0.009568752283950165,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758167078077,1738143464138,2025-09-18,Cover,5,"compulsion","{""text"":""He became one of those people who feels most alive when a hurricane is coming. “I was born for a storm, and a calm does not suit me,” Andrew Jackson once said. Likewise with Musk. He developed a siege mentality that included an attraction, sometimes a craving, for storm and drama, both at work and in the romantic relationships he struggled and failed to maintain. He thrived on crises, deadlines, and wild surges of work. When he faced tortuous challenges, the strain would often keep him awake at night and make him vomit. But it also energized him. “He is a drama magnet,” says Kimbal. “That’s his compulsion, the theme of his life.”"",""chapterTitle"":"""",""chapterDocIndex"":""5"",""chapterHref"":"""",""count"":""22"",""page"":"""",""percentage"":""0.00990578589873027""}","{""characterRange"":{""start"":11181,""end"":11191},""backward"":false}","That’s his compulsion, the theme of his life.",0.00990578589873027,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758361191322,1738143464138,2025-09-20,,7,imprinted,"{""text"":""Haldeman imprinted that spirit onto one of his twin girls, Elon’s mother, Maye. “I know that I can take a risk as long as I’m prepared,” she says. As a young student, she did well in science and math. She was also strikingly good-looking. Tall and blue-eyed, with high cheekbones and sculpted chin, she began working at age fifteen as a model, doing department store runway shows on Saturday mornings."",""chapterTitle"":"""",""chapterDocIndex"":""7"",""chapterHref"":"""",""count"":""12"",""page"":"""",""percentage"":""0.015520127069573762""}","{""characterRange"":{""start"":4890,""end"":4899},""backward"":false}","Haldeman imprinted that spirit onto one of his twin girls, Elon’s mother, Maye.",0.015520127069573762,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758361219469,1738143464138,2025-09-20,,7,"strikingly","{""text"":""Haldeman imprinted that spirit onto one of his twin girls, Elon’s mother, Maye. “I know that I can take a risk as long as I’m prepared,” she says. As a young student, she did well in science and math. She was also strikingly good-looking. Tall and blue-eyed, with high cheekbones and sculpted chin, she began working at age fifteen as a model, doing department store runway shows on Saturday mornings."",""chapterTitle"":"""",""chapterDocIndex"":""7"",""chapterHref"":"""",""count"":""12"",""page"":"""",""percentage"":""0.015520127069573762""}","{""characterRange"":{""start"":5095,""end"":5105},""backward"":false}","She was also strikingly good-looking.",0.015520127069573762,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758361254943,1738143464138,2025-09-20,,7,"cheekbones","{""text"":""Haldeman imprinted that spirit onto one of his twin girls, Elon’s mother, Maye. “I know that I can take a risk as long as I’m prepared,” she says. As a young student, she did well in science and math. She was also strikingly good-looking. Tall and blue-eyed, with high cheekbones and sculpted chin, she began working at age fifteen as a model, doing department store runway shows on Saturday mornings."",""chapterTitle"":"""",""chapterDocIndex"":""7"",""chapterHref"":"""",""count"":""12"",""page"":"""",""percentage"":""0.015520127069573762""}","{""characterRange"":{""start"":5150,""end"":5160},""backward"":false}","Tall and blue-eyed, with high cheekbones and sculpted chin, she began working at age fifteen as a model, doing department store runway shows on Saturday mornings.",0.015520127069573762,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758361311031,1738143464138,2025-09-20,,7,"runway shows","{""text"":""Errol earned a degree in engineering and worked on building hotels, shopping centers, and factories. On the side, he liked restoring old cars and planes. He also dabbled in politics, defeating an Afrikaner member of the pro-apartheid National Party to become one of the few English-speaking members of the Pretoria City Council. The Pretoria News for March 9, 1972, reported the election under the headline “Reaction against the Establishment.”"",""chapterTitle"":"""",""chapterDocIndex"":""7"",""chapterHref"":"""",""count"":""16"",""page"":"""",""percentage"":""0.016621807108777115""}","{""characterRange"":{""start"":5248,""end"":5260},""backward"":false}","Tall and blue-eyed, with high cheekbones and sculpted chin, she began working at age fifteen as a model, doing department store runway shows on Saturday mornings.",0.016621807108777115,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758361460588,1738143464138,2025-09-20,,7,"smooth","{""text"":""Haldeman imprinted that spirit onto one of his twin girls, Elon’s mother, Maye. “I know that I can take a risk as long as I’m prepared,” she says. As a young student, she did well in science and math. She was also strikingly good-looking. Tall and blue-eyed, with high cheekbones and sculpted chin, she began working at age fifteen as a model, doing department store runway shows on Saturday mornings."",""chapterTitle"":"""",""chapterDocIndex"":""7"",""chapterHref"":"""",""count"":""12"",""page"":"""",""percentage"":""0.015520127069573762""}","{""characterRange"":{""start"":5385,""end"":5391},""backward"":false}","Around that time, she met a boy in her neighborhood who was also strikingly good-looking, albeit in a smooth and caddish way.",0.015520127069573762,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
