key,bookKey,date,chapter,chapterIndex,text,cfi,range,notes,percentage,color,tag,highlightType,bookName,bookAuthor
1758082040687,1738143464138,2025-09-17,Epigraph,3,dude,"{""text"":""To anyone I’ve offended, I just want to say, I reinvented electric cars and I’m sending people to Mars in a rocket ship. Did you think I was also going to be a chill, normal dude?"",""chapterTitle"":""Epigraph"",""chapterDocIndex"":""3"",""chapterHref"":""OEBPS/part0003.xhtml"",""count"":""0"",""percentage"":""0.01507537688442211"",""page"":""""}","{""characterRange"":{""start"":174,""end"":178},""backward"":false}","Did you think I was also going to be a chill, normal dude?",0.0,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758082151531,1738143464138,2025-09-17,Cover,5,paramilitary,"{""text"":""The playground"",""chapterTitle"":"""",""chapterDocIndex"":""5"",""chapterHref"":"""",""count"":""0"",""percentage"":""0.02512562814070352"",""page"":""""}","{""characterRange"":{""start"":206,""end"":218},""backward"":false}","“It was a paramilitary Lord of the Flies,” he recalls. ",0.0,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758082350695,1738143464138,2025-09-17,Cover,5,paramilitary,"{""text"":""The playground"",""chapterTitle"":"""",""chapterDocIndex"":""5"",""chapterHref"":"""",""count"":""0"",""percentage"":""0.02512562814070352"",""page"":""""}","{""characterRange"":{""start"":206,""end"":218},""backward"":false}","“It was a paramilitary Lord of the Flies,” he recalls.",0.0,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758082392456,1738143464138,2025-09-17,Cover,5,"rations","{""text"":""The playground"",""chapterTitle"":"""",""chapterDocIndex"":""5"",""chapterHref"":"""",""count"":""0"",""percentage"":""0.02512562814070352"",""page"":""""}","{""characterRange"":{""start"":282,""end"":289},""backward"":false}","The kids were each given small rations of food and water, and they were allowed—indeed encouraged—to fight over them.",0.0,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758082542100,1738143464138,2025-09-17,Cover,5,mind-blowing,"{""text"":""When he was twelve, he was taken by bus to a wilderness survival camp, known as a veldskool. “It was a paramilitary Lord of the Flies,” he recalls. The kids were each given small rations of food and water, and they were allowed—indeed encouraged—to fight over them. “Bullying was considered a virtue,” his younger brother Kimbal says. The big kids quickly learned to punch the little ones in the face and take their stuff. Elon, who was small and emotionally awkward, got beaten up twice. He would end up losing ten pounds."",""chapterTitle"":"""",""chapterDocIndex"":""5"",""chapterHref"":"""",""count"":""2"",""percentage"":""0.02512562814070352"",""page"":""""}","{""characterRange"":{""start"":747,""end"":759},""backward"":true}","“It was so insane, mind-blowing,” Musk recalls. ",0.0,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758082637263,1738143464138,2025-09-17,Cover,5,"counselors","{""text"":""Near the end of the first week, the boys were divided into two groups and told to attack each other. “It was so insane, mind-blowing,” Musk recalls. Every few years, one of the kids would die. The counselors would recount such stories as warnings. “Don’t be stupid like that dumb fuck who died last year,” they would say. “Don’t be the weak dumb fuck.”"",""chapterTitle"":"""",""chapterDocIndex"":""5"",""chapterHref"":"""",""count"":""3"",""percentage"":""0.02512562814070352"",""page"":""""}","{""characterRange"":{""start"":824,""end"":834},""backward"":false}","The counselors would recount such stories as warnings. ",0.0,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758082641404,1738143464138,2025-09-17,Cover,5,recount,"{""text"":""Near the end of the first week, the boys were divided into two groups and told to attack each other. “It was so insane, mind-blowing,” Musk recalls. Every few years, one of the kids would die. The counselors would recount such stories as warnings. “Don’t be stupid like that dumb fuck who died last year,” they would say. “Don’t be the weak dumb fuck.”"",""chapterTitle"":"""",""chapterDocIndex"":""5"",""chapterHref"":"""",""count"":""3"",""percentage"":""0.02512562814070352"",""page"":""""}","{""characterRange"":{""start"":841,""end"":848},""backward"":false}","The counselors would recount such stories as warnings. ",0.0,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758082735924,1738143464138,2025-09-17,Cover,5," bursting up to six feet","{""text"":""Near the end of the first week, the boys were divided into two groups and told to attack each other. “It was so insane, mind-blowing,” Musk recalls. Every few years, one of the kids would die. The counselors would recount such stories as warnings. “Don’t be stupid like that dumb fuck who died last year,” they would say. “Don’t be the weak dumb fuck.”"",""chapterTitle"":"""",""chapterDocIndex"":""5"",""chapterHref"":"""",""count"":""3"",""percentage"":""0.02512562814070352"",""page"":""""}","{""characterRange"":{""start"":1076,""end"":1100},""backward"":false}","He had gotten much bigger, bursting up to six feet with a bearlike frame, and had learned some judo.",0.0,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758082738975,1738143464138,2025-09-17,Cover,5,judo,"{""text"":""Near the end of the first week, the boys were divided into two groups and told to attack each other. “It was so insane, mind-blowing,” Musk recalls. Every few years, one of the kids would die. The counselors would recount such stories as warnings. “Don’t be stupid like that dumb fuck who died last year,” they would say. “Don’t be the weak dumb fuck.”"",""chapterTitle"":"""",""chapterDocIndex"":""5"",""chapterHref"":"""",""count"":""3"",""percentage"":""0.02512562814070352"",""page"":""""}","{""characterRange"":{""start"":1145,""end"":1149},""backward"":false}","He had gotten much bigger, bursting up to six feet with a bearlike frame, and had learned some judo.",0.0,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758082853092,1738143464138,2025-09-17,Cover,5,apartheid,"{""text"":""The playground"",""chapterTitle"":"""",""chapterDocIndex"":""5"",""chapterHref"":"""",""count"":""0"",""percentage"":""0.02512562814070352"",""page"":""""}","{""characterRange"":{""start"":1590,""end"":1599},""backward"":false}","Once, when Elon and Kimbal got off a train on their way to an anti-apartheid music concert, they had to wade through a pool of blood next to a dead person with a knife still sticking out of his brain.",0.0,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
